samples,mini_batches,train_loss,lr
11488,727,0.0187,0.001
11504,728,0.0606,0.001
11520,729,0.0317,0.001
11536,730,0.1292,0.001
11552,731,0.0662,0.001
11568,732,0.0335,0.001
11584,733,0.0436,0.001
11600,734,0.0314,0.001
11613,735,0.0804,0.001
11629,736,0.1034,0.001
11645,737,0.039,0.001
11661,738,0.065,0.001
11677,739,0.0227,0.001
11693,740,0.0311,0.001
11709,741,0.0522,0.001
11725,742,0.0415,0.001
11741,743,0.033,0.001
11757,744,0.0406,0.001
11773,745,0.023,0.001
11789,746,0.0519,0.001
11805,747,0.0355,0.001
11821,748,0.0259,0.001
11837,749,0.0607,0.001
11850,750,0.049,0.001
11866,751,0.0238,0.001
11882,752,0.0388,0.001
11898,753,0.0297,0.001
11914,754,0.0358,0.001
11930,755,0.0451,0.001
11946,756,0.0238,0.001
11962,757,0.0464,0.001
11978,758,0.0522,0.001
11994,759,0.0452,0.001
12010,760,0.0156,0.001
12026,761,0.0947,0.001
12042,762,0.0393,0.001
12058,763,0.0375,0.001
12074,764,0.0472,0.001
12087,765,0.0382,0.001
12103,766,0.0155,0.001
12119,767,0.0325,0.001
12135,768,0.037,0.001
12151,769,0.0412,0.001
12167,770,0.0382,0.001
12183,771,0.0168,0.001
12199,772,0.0267,0.001
12215,773,0.0198,0.001
12231,774,0.0367,0.001
12247,775,0.0225,0.001
12263,776,0.062,0.001
12279,777,0.0269,0.001
12295,778,0.0448,0.001
12311,779,0.077,0.001
12324,780,0.0396,0.001
12340,781,0.0165,0.001
12356,782,0.0305,0.001
12372,783,0.0316,0.001
12388,784,0.0236,0.001
12404,785,0.0417,0.001
12420,786,0.0245,0.001
12436,787,0.0305,0.001
12452,788,0.0221,0.001
12468,789,0.0186,0.001
12484,790,0.0365,0.001
12500,791,0.0423,0.001
12516,792,0.0443,0.001
12532,793,0.0701,0.001
12548,794,0.0211,0.001
12561,795,0.0582,0.001
12577,796,0.0334,0.001
12593,797,0.0842,0.001
12609,798,0.0249,0.001
12625,799,0.0119,0.001
12641,800,0.0181,0.001
12657,801,0.0445,0.001
12673,802,0.0134,0.001
12689,803,0.0359,0.001
12705,804,0.0433,0.001
12721,805,0.0344,0.001
12737,806,0.03,0.001
12753,807,0.0241,0.001
12769,808,0.04,0.001
12785,809,0.0267,0.001
12798,810,0.011,0.001
12814,811,0.0317,0.001
12830,812,0.0178,0.001
12846,813,0.0247,0.001
12862,814,0.0395,0.001
12878,815,0.0125,0.001
12894,816,0.0371,0.001
12910,817,0.0196,0.001
12926,818,0.0251,0.001
12942,819,0.0376,0.001
12958,820,0.0307,0.001
12974,821,0.0491,0.001
12990,822,0.0204,0.001
13006,823,0.0203,0.001
13022,824,0.025,0.001
13035,825,0.0397,0.001
13051,826,0.0279,0.001
13067,827,0.0195,0.001
13083,828,0.0205,0.001
13099,829,0.0191,0.001
13115,830,0.0232,0.001
13131,831,0.0174,0.001
13147,832,0.0172,0.001
13163,833,0.0289,0.001
13179,834,0.011,0.001
13195,835,0.0354,0.001
13211,836,0.0173,0.001
13227,837,0.0348,0.001
13243,838,0.0197,0.001
13259,839,0.018,0.001
13272,840,0.0884,0.001
13288,841,0.0427,0.001
13304,842,0.0221,0.001
13320,843,0.0248,0.001
13336,844,0.0155,0.001
13352,845,0.02,0.001
13368,846,0.0267,0.001
13384,847,0.0175,0.001
13400,848,0.0081,0.001
13416,849,0.0293,0.001
13432,850,0.0167,0.001
13448,851,0.022,0.001
13464,852,0.0419,0.001
13480,853,0.0177,0.001
13496,854,0.0158,0.001
13509,855,0.0252,0.001
13525,856,0.0152,0.001
13541,857,0.0138,0.001
13557,858,0.0329,0.001
13573,859,0.0248,0.001
13589,860,0.0156,0.001
13605,861,0.0398,0.001
13621,862,0.0532,0.001
13637,863,0.0137,0.001
13653,864,0.0098,0.001
