samples,mini_batches,train_loss,lr
7254,459,1.3906,0.001
7270,460,1.2054,0.001
7286,461,1.7498,0.001
7302,462,1.2632,0.001
7318,463,1.3628,0.001
7334,464,1.1945,0.001
7347,465,1.3034,0.001
7363,466,1.4687,0.001
7379,467,1.5496,0.001
7395,468,1.1604,0.001
7411,469,1.1783,0.001
7427,470,1.357,0.001
7443,471,1.1618,0.001
7459,472,1.2051,0.001
7475,473,1.4849,0.001
7491,474,1.1841,0.001
7507,475,1.5613,0.001
7523,476,1.5331,0.001
7539,477,1.3206,0.001
7555,478,1.3198,0.001
7571,479,1.2029,0.001
7584,480,1.6471,0.001
7600,481,1.1018,0.001
7616,482,1.1625,0.001
7632,483,1.246,0.001
7648,484,1.5005,0.001
7664,485,1.3285,0.001
7680,486,1.5768,0.001
7696,487,1.172,0.001
7712,488,1.2387,0.001
7728,489,1.4869,0.001
7744,490,1.3849,0.001
7760,491,1.4247,0.001
7776,492,1.4039,0.001
7792,493,1.4202,0.001
7808,494,1.3983,0.001
7821,495,1.3349,0.001
7837,496,1.2539,0.001
7853,497,1.2106,0.001
7869,498,1.5809,0.001
7885,499,1.3497,0.001
7901,500,1.3799,0.001
7917,501,1.3423,0.001
7933,502,1.385,0.001
7949,503,1.3692,0.001
7965,504,1.33,0.001
7981,505,1.4098,0.001
7997,506,1.4355,0.001
8013,507,1.4293,0.001
8029,508,1.1541,0.001
8045,509,1.2096,0.001
8058,510,1.2271,0.001
8074,511,1.2374,0.001
8090,512,1.4388,0.001
8106,513,1.2793,0.001
8122,514,1.3972,0.001
8138,515,1.3221,0.001
8154,516,1.3939,0.001
8170,517,1.3416,0.001
8186,518,1.2244,0.001
8202,519,1.1863,0.001
8218,520,1.256,0.001
8234,521,1.4257,0.001
8250,522,1.4362,0.001
8266,523,1.2501,0.001
8282,524,1.3693,0.001
8295,525,1.4587,0.001
8311,526,1.3687,0.001
8327,527,1.4415,0.001
8343,528,1.2502,0.001
8359,529,1.3677,0.001
8375,530,1.5183,0.001
8391,531,1.2426,0.001
8407,532,1.238,0.001
8423,533,1.2953,0.001
8439,534,1.3017,0.001
8455,535,1.4096,0.001
8471,536,1.4192,0.001
8487,537,1.2841,0.001
8503,538,1.4126,0.001
8519,539,1.3442,0.001
8532,540,0.9348,0.001
8548,541,1.0556,0.001
8564,542,1.2998,0.001
8580,543,1.2168,0.001
8596,544,1.2914,0.001
8612,545,1.383,0.001
8628,546,1.0578,0.001
8644,547,1.2933,0.001
8660,548,1.4003,0.001
8676,549,1.4284,0.001
8692,550,1.5039,0.001
8708,551,1.4928,0.001
8724,552,1.2448,0.001
8740,553,1.4618,0.001
8756,554,1.5213,0.001
8769,555,1.1237,0.001
8785,556,1.3391,0.001
8801,557,1.033,0.001
8817,558,1.25,0.001
8833,559,1.4969,0.001
8849,560,1.2899,0.001
8865,561,1.4566,0.001
8881,562,1.233,0.001
8897,563,1.1443,0.001
8913,564,1.1773,0.001
8929,565,1.734,0.001
8945,566,1.1253,0.001
8961,567,1.3293,0.001
8977,568,1.2099,0.001
8993,569,1.6292,0.001
9006,570,1.2651,0.001
9022,571,1.5569,0.001
9038,572,1.252,0.001
9054,573,1.515,0.001
9070,574,1.4694,0.001
9086,575,1.3876,0.001
9102,576,1.1776,0.001
9118,577,1.302,0.001
9134,578,1.0957,0.001
9150,579,1.3174,0.001
9166,580,1.3746,0.001
9182,581,1.2576,0.001
9198,582,1.2266,0.001
9214,583,1.1895,0.001
9230,584,1.1841,0.001
9243,585,1.3301,0.001
9259,586,1.1639,0.001
9275,587,1.3025,0.001
9291,588,1.333,0.001
9307,589,1.1912,0.001
9323,590,1.4105,0.001
9339,591,0.9388,0.001
9355,592,1.2716,0.001
9371,593,1.2593,0.001
9387,594,1.2464,0.001
9403,595,1.547,0.001
9419,596,1.2705,0.001
9435,597,1.3351,0.001
9451,598,1.4589,0.001
9467,599,1.3151,0.001
9480,600,1.5453,0.001
9496,601,1.7582,0.001
9512,602,1.2878,0.001
9528,603,1.0927,0.001
9544,604,1.4051,0.001
9560,605,1.3836,0.001
9576,606,1.2318,0.001
9592,607,1.1137,0.001
9608,608,1.3018,0.001
9624,609,1.2183,0.001
9640,610,1.326,0.001
9656,611,1.0473,0.001
9672,612,1.3985,0.001
9688,613,1.081,0.001
9704,614,1.5033,0.001
9717,615,1.3128,0.001
9733,616,1.4158,0.001
9749,617,1.5177,0.001
9765,618,1.5315,0.001
9781,619,1.1013,0.001
9797,620,1.1888,0.001
9813,621,1.2136,0.001
9829,622,1.4098,0.001
9845,623,1.1827,0.001
9861,624,1.2497,0.001
9877,625,1.4779,0.001
9893,626,1.0878,0.001
9909,627,1.2017,0.001
9925,628,1.3597,0.001
9941,629,1.1108,0.001
9954,630,1.3307,0.001
9970,631,1.2628,0.001
9986,632,1.2745,0.001
10002,633,1.3693,0.001
10018,634,1.2736,0.001
10034,635,1.5102,0.001
10050,636,1.0662,0.001
10066,637,1.6233,0.001
10082,638,1.3419,0.001
10098,639,1.3915,0.001
10114,640,0.8861,0.001
10130,641,1.3586,0.001
10146,642,1.0523,0.001
10162,643,1.4787,0.001
10178,644,1.2501,0.001
10191,645,1.1181,0.001
10207,646,1.3529,0.001
10223,647,1.314,0.001
10239,648,1.547,0.001
10255,649,1.1266,0.001
10271,650,1.2354,0.001
10287,651,1.2775,0.001
10303,652,1.2761,0.001
10319,653,1.2952,0.001
10335,654,1.2764,0.001
10351,655,1.3153,0.001
10367,656,1.2968,0.001
10383,657,1.0553,0.001
10399,658,1.3754,0.001
10415,659,1.0862,0.001
10428,660,1.3956,0.001
10444,661,1.2076,0.001
10460,662,1.3166,0.001
10476,663,1.1084,0.001
10492,664,1.375,0.001
10508,665,1.3397,0.001
10524,666,1.6584,0.001
10540,667,1.2047,0.001
10556,668,1.3188,0.001
10572,669,1.2056,0.001
10588,670,1.5365,0.001
10604,671,1.0489,0.001
10620,672,1.1763,0.001
10636,673,1.1744,0.001
10652,674,1.3008,0.001
10665,675,1.1234,0.001
10681,676,1.4537,0.001
10697,677,1.2611,0.001
10713,678,1.3138,0.001
10729,679,1.2299,0.001
10745,680,1.207,0.001
10761,681,1.0834,0.001
10777,682,1.1991,0.001
10793,683,1.3793,0.001
10809,684,1.1645,0.001
10825,685,1.1663,0.001
10841,686,1.0517,0.001
10857,687,1.3705,0.001
10873,688,1.276,0.001
10889,689,1.3097,0.001
10902,690,1.6476,0.001
10918,691,1.1767,0.001
10934,692,1.2114,0.001
